시도,시군구,읍면,동리,단지코드,단지명,단지분류,법정동주소,도로명주소,사용승인일,동수,세대수,난방방식,난방연료,난방공급업체,고시지역명,고시지역여부,위도,경도
대구광역시,중구,,동인동1가,A10022426,대구역센트럴대원칸타빌,아파트,대구광역시 중구 동인동1가 77- 대구역센트럴대원칸타빌,대구광역시 중구 태평로 224,20240627,3,410,개별난방,도시가스,대성에너지,,False,35.873035688,128.60225946
대구광역시,중구,,동인동1가,A70042101,동인시티타운,아파트,대구광역시 중구 동인동1가 33-1 동인시티타운,대구광역시 중구 국채보상로131길 55,19970711,1,204,개별난방,도시가스,대성에너지,,False,35.872731839,128.602073872
대구광역시,중구,,동인동1가,A10022674,힐스테이트 동인센트럴,,대구광역시 중구 동인동1가 235-1 힐스테이트 동인센트럴,대구광역시 중구 동덕로 181,20240329,3,410,개별난방,도시가스,대성에너지,,False,35.871147563,128.603011739
대구광역시,중구,,동인동3가,A10022946,동인태왕아너스라플란드,아파트,대구광역시 중구 동인동3가 228 동인태왕아너스라플란드,대구광역시 중구 국채보상로151길 55,20231101,5,373,개별난방,도시가스,대성에너지,,False,35.870904653,128.611601114
대구광역시,중구,,동인동3가,A10023412,엑소디움센트럴동인,아파트,대구광역시 중구 동인동3가 88 엑소디움센트럴동인,대구광역시 중구 국채보상로139길 40,20230331,6,630,개별난방,도시가스,대성에너지,,False,35.870928631,128.608015995
대구광역시,중구,,동인동4가,A70042401,동인동삼정그린코아,아파트,대구광역시 중구 동인동4가 220 동인동삼정그린코아,대구광역시 중구 동덕로30길 53,20090305,1,174,개별난방,도시가스,대성에너지,,False,35.867443875,128.606890887
대구광역시,중구,,삼덕동2가,A10022315,동성로SK리더스뷰,주상복합,대구광역시 중구 삼덕동2가 328- 동성로SK리더스뷰,대구광역시 중구 공평로 36,20240920,2,335,개별난방,도시가스,대성에너지,,False,35.867327716,128.600290733
대구광역시,중구,,삼덕동2가,A10023003,빌리브프리미어,주상복합,대구광역시 중구 삼덕동2가 166 빌리브프리미어,대구광역시 중구 공평로 6,20230825,2,200,개별난방,도시가스,대성에너지,,False,35.864632181,128.600421635
대구광역시,중구,,삼덕동3가,A70041301,삼덕청아람리슈빌,아파트,대구광역시 중구 삼덕동3가 383 삼덕청아람리슈빌,대구광역시 중구 달구벌대로447길 77,20130403,7,730,개별난방,도시가스,대성에너지,,False,35.866344574,128.607024007
대구광역시,중구,,봉산동,A70082301,봉산뜨란채,아파트,대구광역시 중구 봉산동 110 봉산뜨란채,대구광역시 중구 봉산문화길 69,20060818,3,295,개별난방,도시가스,대성에너지,,False,35.862793135,128.596783297
대구광역시,중구,,태평로1가,A10021048,대구역 한라하우젠트 센트로,주상복합,대구광역시 중구 태평로1가 11- 대구역 한라하우젠트 센트로,대구광역시 중구 태평로 190,20241129,2,132,개별난방,도시가스,대성에너지,,False,35.873987404,128.598508768
대구광역시,중구,,태평로1가,A70011101,라이프아파트,주상복합,대구광역시 중구 태평로1가 1-187 라이프아파트,대구광역시 중구 태평로 177,19850715,1,181,개별난방,도시가스,대성에너지,,False,35.874822925,128.597897897
대구광역시,중구,,교동,A70080001,노마즈하우스,도시형 생활주택(아파트),대구광역시 중구 교동 8 노마즈하우스,대구광역시 중구 공평로 105,20140121,1,269,개별난방,도시가스,대성에너지,,False,35.873435107,128.600953089
대구광역시,중구,,도원동,A10022638,힐스테이트 도원 센트럴,,대구광역시 중구 도원동 9 힐스테이트 도원 센트럴,대구광역시 중구 태평로 50,20240429,4,894,개별난방,도시가스,대성에너지,,False,35.87701913,128.58256503
대구광역시,중구,,수창동,A10026722,대구역센트럴자이아파트,아파트,대구광역시 중구 수창동 173 대구역센트럴자이아파트,대구광역시 중구 서성로 99,20171030,6,1005,개별난방,도시가스,대성에너지,,False,35.875437908,128.587530821
대구광역시,중구,,수창동,A10022993,대구역제일풍경채위너스카이,아파트,대구광역시 중구 수창동 50-10 대구역제일풍경채위너스카이,대구광역시 중구 달성로26길 70,20230922,5,604,개별난방,도시가스,대성에너지,,False,35.874780875,128.586659645
대구광역시,중구,,태평로3가,A10022071,대구역경남센트로팰리스,,대구광역시 중구 태평로3가 177-3 대구역경남센트로팰리스,대구광역시 중구 태평로 47,20220816,1,144,개별난방,도시가스,대성에너지,,False,35.877852563,128.583929109
대구광역시,중구,,태평로3가,A10021294,힐스테이트 달성공원역,주상복합,대구광역시 중구 태평로3가 318- 힐스테이트 달성공원역,대구광역시 중구 태평로 41,20241030,2,320,개별난방,도시가스,대성에너지,,False,35.877852567,128.582782403
대구광역시,중구,,서성로1가,A10022461,중앙로역푸르지오더센트럴,아파트,대구광역시 중구 서성로1가 108- 중앙로역푸르지오더센트럴,대구광역시 중구 서성로 60,20240819,2,298,개별난방,도시가스,대성에너지,,False,35.871946566,128.587664131
대구광역시,중구,,계산동2가,A70071501,신성미소시티,주상복합,대구광역시 중구 계산동2가 100 신성미소시티,대구광역시 중구 달구벌대로 2051,20071009,2,250,개별난방,도시가스,대성에너지,,False,35.866821963,128.588263249
