날짜,아파트코드,아파트명,공급승인일자,세대수,실입주자수,누적실입주자수,입주율
2025-04-30,201447,구수산공원 화성파크드림,2024-12-12,520.0,127.0,438.0,84.23
2025-04-30,201448,대구역자이더스타,2025-01-23,505.0,101.0,101.0,20.0
2025-04-30,201420,두류역 서한포레스트,2024-11-27,576.0,79.0,424.0,73.61
2025-04-30,201458,수성포레스트스위첸,2024-11-18,755.0,58.0,195.0,25.83
2025-04-30,201437,신세계 빌리브 루센트,2024-12-04,258.0,50.0,131.0,50.78
2025-04-30,201469,더센트럴화성파크드림,2024-12-10,365.0,44.0,221.0,60.55
2025-04-30,201433,두류동 중흥s클래스셈텀포레,2024-10-02,454.0,40.0,325.0,71.59
2025-04-30,201429,더샵프리미엘,2024-11-12,456.0,33.0,307.0,67.32
2025-04-30,201455,힐스테이트만촌역,2024-11-01,718.0,29.0,571.0,79.53
2025-04-30,201470,힐스테이트대구역퍼스트1단지,2024-12-26,216.0,23.0,24.0,11.11
2025-04-30,201451,교대푸르지오트레힐즈,2024-09-25,924.0,22.0,881.0,95.35
2025-04-30,201454,두류센트레빌더파크,2024-09-04,433.0,22.0,312.0,72.06
2025-04-30,201320,진천라온프라이빗디엘,2024-09-03,669.0,21.0,527.0,78.77
2025-04-30,201438,힐스테이트만촌엘퍼스트,2024-08-16,420.0,20.0,287.0,68.33
2025-04-30,201461,수성 자이르네,2024-11-01,219.0,14.0,179.0,81.74
2025-04-30,201428,화원 동화아이위시,2024-10-04,673.0,14.0,630.0,93.61
2025-04-30,201402,대구용계역푸르지오아츠베르2단지,2023-10-19,568.0,12.0,480.0,84.51
2025-04-30,201413,호반써밋수성,2024-05-03,469.0,12.0,383.0,81.66
2025-04-30,201333,대봉교역 금호어울림 에듀리버,2023-06-08,433.0,11.0,425.0,98.15
2025-04-30,201421,동대구푸르지오브리센트,2024-07-25,794.0,11.0,561.0,70.65
2025-04-30,201412,대봉서한이다음,2024-08-14,541.0,9.0,463.0,85.58
2025-04-30,201335,대구역한라하우젠트센트로,2024-10-29,228.0,9.0,195.0,85.53
2025-04-30,201465,힐스테이트 황금역 리저브 1단지,2024-11-06,182.0,9.0,37.0,20.33
2025-04-30,201403,대구용계역푸르지오아츠베르1단지,2023-10-19,745.0,8.0,718.0,96.38
2025-04-30,201427,북구청역 푸르지오 에듀포레,2024-02-21,568.0,7.0,499.0,87.85
2025-04-30,201385,대명동 공공지원임대주택2단지(이랜드피어),2023-09-07,270.0,7.0,239.0,88.52
2025-04-30,201441,해링턴플레이스더반월당,2024-08-07,493.0,6.0,453.0,91.89
2025-04-30,201471,힐스테이트대구역퍼스트2단지,2024-12-26,174.0,6.0,9.0,5.17
2025-04-30,201426,만촌역 태왕디아너스,2024-07-29,450.0,6.0,421.0,93.56
2025-04-30,201466,힐스테이트 황금역 리저브 2차,2024-11-06,229.0,6.0,15.0,6.55
2025-04-30,201237,장기동 동서프라임 36.5,2024-05-20,148.0,6.0,136.0,91.89
2025-04-30,201446,펜타힐즈푸르지오2차,2024-08-28,506.0,5.0,503.0,99.41
2025-04-30,201452,범어 아이파크1차,2024-09-19,448.0,5.0,440.0,98.21
2025-04-30,201432,대구역 오페라 스위첸,2024-04-11,929.0,4.0,921.0,99.14
2025-04-30,201367,정평역리버뷰엘(OPS),2023-01-10,195.0,4.0,188.0,96.41
2025-04-30,201363,대구안심뉴타운B4블럭(파라곤프레스티지),2023-02-20,759.0,4.0,744.0,98.02
2025-04-30,201422,동인동센트럴대원칸타빌,2024-06-03,454.0,4.0,398.0,87.67
2025-04-30,201435,대구 동인시영(태왕아너스라플란드),2023-10-27,373.0,4.0,349.0,93.57
2025-04-30,201366,시지 센트레빌,2023-07-20,120.0,3.0,115.0,95.83
2025-04-30,201404,힐스테이트 감삼센트럴,2024-05-31,512.0,3.0,446.0,87.11
2025-04-30,201406,한양수자인더팰리시티(1단지),2024-01-04,500.0,3.0,494.0,98.8
2025-04-30,201393,대구 더샵 수성오클레어,2023-09-14,303.0,2.0,276.0,91.09
2025-04-30,201283,대구힐스테이트감삼아파트(더퍼스트),2022-09-13,559.0,2.0,557.0,99.64
2025-04-30,201295,만촌동 서한포레스트,2022-09-26,258.0,2.0,247.0,95.74
2025-04-30,201362,경산 하양 A7BL 제일풍경채,2024-02-21,614.0,2.0,595.0,96.91
2025-04-30,201430,동대구엘크루에비뉴원,2024-01-26,191.0,2.0,100.0,52.36
2025-04-30,201463,봉무로하스,2024-07-05,39.0,2.0,17.0,43.59
2025-04-30,201401,중앙로역푸르지오더센트럴,2024-05-31,368.0,2.0,335.0,91.03
2025-04-30,201395,대구역 힐스테이트,2023-11-02,953.0,1.0,933.0,97.9
2025-04-30,201338,뉴센트럴두산위브더제니스,2024-05-14,372.0,1.0,314.0,84.41
2025-04-30,201223,힐스테이트 범어 센트럴,2021-12-06,503.0,1.0,501.0,99.6
2025-04-30,201281,수성데시앙리버뷰,2022-01-05,278.0,1.0,276.0,99.28
2025-04-30,201296,진천 주상복합 아파트,2022-04-14,66.0,1.0,56.0,84.85
2025-04-30,201288,다사역현대힐스테이트,2022-04-13,736.0,1.0,736.0,100.0
2025-04-30,201265,화원 신일해피트리 꿈의숲,2022-06-17,553.0,1.0,528.0,95.48
2025-04-30,201418,동성로 SK 리더스뷰,2024-08-21,335.0,1.0,330.0,98.51
2025-04-30,201312,대구 두류파크 KCC 스위첸,2022-10-19,785.0,1.0,784.0,99.87
2025-04-30,201300,일성트루엘레전드(더트루엘수성),2022-10-26,158.0,1.0,153.0,96.84
2025-04-30,201329,엑소디움센트럴동인,2022-11-29,630.0,1.0,589.0,93.49
2025-04-30,201305,중동 수성뷰웰 리버파크,2022-12-08,266.0,1.0,259.0,97.37
2025-04-30,201375,달서코아루더리브,2023-01-06,234.0,1.0,207.0,88.46
2025-04-30,201397,동대구2차 비스타동원,2023-02-28,627.0,1.0,592.0,94.42
2025-04-30,201266,효성해링턴 플레이스 감삼1차,2023-02-21,320.0,1.0,289.0,90.31
2025-04-30,201392,반고개역 푸르지오엘리비엔,2023-11-30,240.0,1.0,6.0,2.5
2025-04-30,201343,더샵수성라크에르,2023-03-09,899.0,1.0,892.0,99.22
2025-04-30,201417,힐스테이트앞산센트럴,2024-03-08,345.0,1.0,305.0,88.41
2025-04-30,201390,경산중방 서희스타힐스,2023-06-07,960.0,1.0,959.0,99.9
2025-04-30,201341,태전역광신프로그레스,2023-06-07,532.0,1.0,525.0,98.68
2025-04-30,201415,경산아이파크,2024-03-26,977.0,1.0,971.0,99.39
2025-04-30,201381,빌리브프리미어,2023-08-04,263.0,1.0,250.0,95.06
2025-04-30,201442,해링턴플레이스 감삼2차(더베스트),2024-03-08,246.0,1.0,182.0,73.98
2025-04-30,201384,대명동 공공지원임대주택1단지(이랜드피어),2023-09-07,178.0,1.0,168.0,94.38
2025-04-30,201376,다산월드메르디앙엔라체,2024-02-19,631.0,1.0,598.0,94.77
2025-04-30,201423,수성엘코어하이엔드타워 오피스텔,2023-11-23,96.0,1.0,26.0,27.08
2025-04-30,201400,신기역 극동 스타클래스,2023-10-27,170.0,1.0,49.0,28.82
2025-04-30,201229,안심역 삼정그린코아 더베스트,2021-11-10,638.0,1.0,631.0,98.9
