"No","공동주택","빌링전용","공급전용","공동주택명","공동주택검사명","난방방식","공동주택계약","정기검사","지사","완성검사일자","기밀시험시행년도","정기검사기준월","주    소","연락처","세대수","동수","사용여부","전용면적등록구분",
"1","000101","아니오","아니오","무궁화백화점","포정무궁화","개별난방","아니오","예","중부안전팀","1990-12-03","2006","12 월","중구 경상감영길 111 (포정동 16)","255-3212","24","1","사용","등록",
"2","000201","아니오","아니오","대보백화점","향촌대보","개별난방","아니오","예","중부안전팀","1993-06-19","2005"," 6 월","중구 경상감영길 117-7 (향촌동 63)","252-8187","107","1","사용","등록",
"3","001101","아니오","아니오","태평라이프아파트","태평라이프","개별난방","아니오","예","중부안전팀","1987-09-01","2004"," 9 월","중구 태평로 177 (태평로1가 1-187)","423-6704","181","1","사용","등록",
"4","001102","아니오","아니오","태평아파트","`77태평","개별난방","아니오","예","중부안전팀","1988-03-31","2005"," 3 월","중구 태평로 205 (태평로1가 23-1)","427-6322","117","2","사용","등록",
"5","001103","아니오","아니오","건영아파트","태평건영","개별난방","아니오","예","중부안전팀","1997-07-29","2006"," 7 월","중구 태평로 129 (태평로2가 38-4)","253-1403","48","1","사용","등록",
"6","001104","아니오","아니오","도원아파트","도원아파트","개별난방","아니오","예","중부안전팀","2001-12-11","2004","12 월","중구 태평로 56 (도원동 3-5)","255-1989","113","3","사용","등록",
"7","001105","아니오","아니오","건축자재상가아파트","건축자재상가아파트","개별난방","아니오","예","중부안전팀","2005-12-06","","12 월","중구 태평로 113 (태평로2가 38-1)","","54","2","사용","등록",
"8","002201","아니오","아니오","희도아파트","수동희도","개별난방","아니오","예","중부안전팀","1987-01-19","2004"," 1 월","중구 남성로 13 (수동 101)","254-6453","53","1","사용","등록",
"9","002401","예","아니오","황궁아파트","","개별난방","아니오","예","","","","","중구 중앙대로81길 51 (장관동 10-1)","","24","1","사용","등록",
"10","003101","아니오","아니오","동산아파트","동산주공","개별난방","아니오","예","중부안전팀","1986-11-10","2004","11 월","중구 달구벌대로 2035 (동산동 357)","252-9183","152","1","사용","등록",
"11","003201","아니오","아니오","춘전맨션아파트","대신춘전","개별난방","아니오","예","중부안전팀","1991-12-16","2006","12 월","중구 큰장로 102 (대신동 1021)","254-5682","48","1","사용","등록",
"12","003202","아니오","아니오","광명아파트","대신광명","개별난방","아니오","예","중부안전팀","1992-04-22","2004"," 4 월","중구 큰장로 74 (대신동 1535)","252-1391","127","3","사용","등록",
"13","003203","아니오","아니오","협화아파트","대신협화","개별난방","아니오","예","중부안전팀","1993-01-27","2005"," 1 월","중구 달구벌대로389길 70 (대신동 1510)","254-5405","29","1","사용","등록",
"14","003204","아니오","아니오","동서타운","대신동서","개별난방","아니오","예","중부안전팀","1998-06-10","2004"," 6 월","중구 달구벌대로 1937 (대신동 1450)","257-3036","143","4","사용","등록",
"15","003205","아니오","아니오","태왕아너스스카이아파트","대신동태왕아너스스카이아파트","개별난방","아니오","예","중부안전팀","2006-10-04","","10 월","중구 달구벌대로 1975 (대신동 305-1)","424-0532","492","6","사용","등록",
"16","003301","예","아니오","서성로훼미리타운","","개별난방","아니오","예","","","","","중구 서성로15길 10 (서성로1가 19)","","19","1","사용","등록",
"17","003701","예","아니오","경진테크빌아파트","","개별난방","아니오","예","","","","","중구 서성로 88-5 (수창동 40-11)","252-7842","19","1","사용","등록",
"18","003801","아니오","아니오","금오맨션아파트","달성금오","개별난방","아니오","예","중부안전팀","1989-04-14","2005"," 4 월","중구 원대로 11 (달성동 118-3)","556-1223","86","1","사용","등록",
