No,공동주택,빌링전용,공급전용,공동주택명,공동주택검사명,난방방식,공동주택계약,정기검사,지사,완성검사일자,기밀시험시행년도,정기검사기준월,주소,연락처,세대수,동수,사용여부,전용면적등록구분,도로명주소,위도,경도
1,101,아니오,아니오,무궁화백화점,포정무궁화,개별난방,아니오,예,중부안전팀,1990-12-03,2006.0,12 월,중구 경상감영길 111 (포정동 16),255-3212,24,1.0,사용,등록,대구광역시 중구 경상감영길 111,35.872198002,128.593617066
2,201,아니오,아니오,대보백화점,향촌대보,개별난방,아니오,예,중부안전팀,1993-06-19,2005.0, 6 월,중구 경상감영길 117-7 (향촌동 63),252-8187,107,1.0,사용,등록,대구광역시 중구 경상감영길 117-7,35.872610342,128.593627042
3,1101,아니오,아니오,태평라이프아파트,태평라이프,개별난방,아니오,예,중부안전팀,1987-09-01,2004.0, 9 월,중구 태평로 177 (태평로1가 1-187),423-6704,181,1.0,사용,등록,대구광역시 중구 태평로 177,35.874822925,128.597897897
4,1102,아니오,아니오,태평아파트,`77태평,개별난방,아니오,예,중부안전팀,1988-03-31,2005.0, 3 월,중구 태평로 205 (태평로1가 23-1),427-6322,117,2.0,사용,등록,대구광역시 중구 태평로 205,35.874267654,128.599961188
5,1103,아니오,아니오,건영아파트,태평건영,개별난방,아니오,예,중부안전팀,1997-07-29,2006.0, 7 월,중구 태평로 129 (태평로2가 38-4),253-1403,48,1.0,사용,등록,대구광역시 중구 태평로 129,35.876307899,128.591600911
6,1104,아니오,아니오,도원아파트,도원아파트,개별난방,아니오,예,중부안전팀,2001-12-11,2004.0,12 월,중구 태평로 56 (도원동 3-5),255-1989,113,3.0,사용,등록,대구광역시 중구 태평로 56,35.876991608,128.58401851
7,1105,아니오,아니오,건축자재상가아파트,건축자재상가아파트,개별난방,아니오,예,중부안전팀,2005-12-06,,12 월,중구 태평로 113 (태평로2가 38-1),,54,2.0,사용,등록,대구광역시 중구 태평로 113,35.87661006,128.590953806
8,2201,아니오,아니오,희도아파트,수동희도,개별난방,아니오,예,중부안전팀,1987-01-19,2004.0, 1 월,중구 남성로 13 (수동 101),254-6453,53,1.0,사용,등록,대구광역시 중구 남성로 13,35.868974241,128.588791779
9,2401,예,아니오,황궁아파트,,개별난방,아니오,예,,,,,중구 중앙대로81길 51 (장관동 10-1),,24,1.0,사용,등록,대구광역시 중구 중앙대로81길 51,35.869473469,128.590895095
10,3101,아니오,아니오,동산아파트,동산주공,개별난방,아니오,예,중부안전팀,1986-11-10,2004.0,11 월,중구 달구벌대로 2035 (동산동 357),252-9183,152,1.0,사용,등록,대구광역시 중구 달구벌대로 2035,35.86707862,128.586049788
11,3201,아니오,아니오,춘전맨션아파트,대신춘전,개별난방,아니오,예,중부안전팀,1991-12-16,2006.0,12 월,중구 큰장로 102 (대신동 1021),254-5682,48,1.0,사용,등록,대구광역시 중구 큰장로 102,35.867757995,128.577516398
12,3202,아니오,아니오,광명아파트,대신광명,개별난방,아니오,예,중부안전팀,1992-04-22,2004.0, 4 월,중구 큰장로 74 (대신동 1535),252-1391,127,3.0,사용,등록,대구광역시 중구 큰장로 74,35.86622777,128.575480286
13,3203,아니오,아니오,협화아파트,대신협화,개별난방,아니오,예,중부안전팀,1993-01-27,2005.0, 1 월,중구 달구벌대로389길 70 (대신동 1510),254-5405,29,1.0,사용,등록,대구광역시 중구 달구벌대로389길 70,35.866287006,128.575848111
14,3204,아니오,아니오,동서타운,대신동서,개별난방,아니오,예,중부안전팀,1998-06-10,2004.0, 6 월,중구 달구벌대로 1937 (대신동 1450),257-3036,143,4.0,사용,등록,대구광역시 중구 달구벌대로 1937,35.863496109,128.575460287
15,3205,아니오,아니오,태왕아너스스카이아파트,대신동태왕아너스스카이아파트,개별난방,아니오,예,중부안전팀,2006-10-04,,10 월,중구 달구벌대로 1975 (대신동 305-1),424-0532,492,6.0,사용,등록,대구광역시 중구 달구벌대로 1975,35.864509267,128.579766215
16,3301,예,아니오,서성로훼미리타운,,개별난방,아니오,예,,,,,중구 서성로15길 10 (서성로1가 19),,19,1.0,사용,등록,대구광역시 중구 서성로15길 10,35.873305256,128.587034077
17,3701,예,아니오,경진테크빌아파트,,개별난방,아니오,예,,,,,중구 서성로 88-5 (수창동 40-11),252-7842,19,1.0,사용,등록,대구광역시 중구 서성로 88-5,35.874613486,128.588145691
18,3801,아니오,아니오,금오맨션아파트,달성금오,개별난방,아니오,예,중부안전팀,1989-04-14,2005.0, 4 월,중구 원대로 11 (달성동 118-3),556-1223,86,1.0,사용,등록,대구광역시 중구 원대로 11,35.878488216,128.580054837
19,4001,예,아니오,시티타운아파트,,개별난방,아니오,예,,,,,중구 이천로 222-6 (봉산동 168-71),422-6664,18,1.0,사용,등록,대구광역시 중구 이천로 222-6,,
20,4002,아니오,아니오,봉산뜨란채아파트,봉산지구주공아파트(뜨란채),개별난방,아니오,예,중부안전팀,2006-07-04,, 7 월,중구 봉산문화길 69 (봉산동 110),423-9101,295,3.0,사용,등록,대구광역시 중구 봉산문화길 69,35.862793135,128.596783297
21,4102,아니오,아니오,아진맨션아파트,삼덕아진,개별난방,아니오,예,중부안전팀,1992-06-17,2004.0, 6 월,중구 동덕로 109 (삼덕동2가 208-4),423-2905,27,1.0,사용,등록,대구광역시 중구 동덕로 109,35.86451364,128.602622843
22,4103,예,아니오,홍길아파트,,개별난방,아니오,예,,,,,중구 공평로10길 30-74 (삼덕동2가 29-57),,16,1.0,사용,등록,대구광역시 중구 공평로10길 30-74,35.866878682,128.603063864
