시설물번호,사용계약번호,고객명,상품명,용도,업종분류,업종,도로명주소_풀주소,위도,경도,전년동월판매량,당년판매량,증감,증감률,상태,비교기준월
1220000937,6003386444,강유경,일반용(1),영업용,음식점업,기타 음식점,대구광역시 중구 큰장로 74,35.8659674,128.5752546,297.7191,,,,해지,Nov-24
1220000939,1230000939,서애숙,일반용(1),영업용,음식점업,기타 음식점,대구광역시 중구 큰장로 74,35.8659674,128.5752546,39.564,45.4802,5.9162000000000035,14.953493074512192,유지,Nov-24
1220001060,6002907143,햇님제과점,일반용(1),영업용,다과점업,제과점,대구광역시 중구 달구벌대로389길 70,35.8662844,128.5757687,25.7166,28.6723,2.9557,11.49335448698506,유지,Nov-24
1220002701,1230002701,청운맨션 입주자 대표회의,미사용-열병합 집단용,열병합용,열병합,공동주택,대구광역시 중구 동덕로 33,35.8579894,128.6036162,0.0,0.0,0.0,,유지,Nov-24
1220002701,1230002701,청운맨션 입주자 대표회의,열전용설비용,열병합용,열병합,공동주택,대구광역시 중구 동덕로 33,35.8579894,128.6036162,0.0,0.0,0.0,,유지,Nov-24
1220002701,1230002701,청운맨션 입주자 대표회의,자가열전용,열병합용,열병합,공동주택,대구광역시 중구 동덕로 33,35.8579894,128.6036162,67892.0,36405.0,-31487.0,-46.37807105402698,유지,Nov-24
1220002704,1230002701,청운맨션 입주자 대표회의,미사용-열병합,열병합용,열병합,공동주택,대구광역시 중구 동덕로 33,35.8579894,128.6036162,0.0,0.0,0.0,,유지,Nov-24
1220002704,1230002701,청운맨션 입주자 대표회의,열병합용,열병합용,열병합,공동주택,대구광역시 중구 동덕로 33,35.8579894,128.6036162,0.0,49509.0,49509.0,,유지,Nov-24
1220003259,1230003259,주현준,일반용(1),공동주택,공동주택,아파트,대구광역시 중구 동덕로 33,35.8579894,128.6036162,0.0,0.0,0.0,,유지,Nov-24
1220008782,6003114948,화성함바식당,일반용(1),영업용,음식점업,기타 음식점,대구광역시 동구 신암남로23길 17,35.8819944,128.6274838,,,,,해지,Nov-24
1220008782,6004036609,찬을담따,일반용(1),영업용,음식점업,기타 음식점,대구광역시 동구 신암남로23길 17,35.8819944,128.6274838,,74.1525,,,신규,Nov-24
1220010093,6001161444,오리와친구들,일반용(1),영업용,음식점업,기타 음식점,대구광역시 동구 아양로10길 9,35.8814662,128.6205486,17.8038,23.7288,5.925000000000001,33.279412260303985,유지,Nov-24
1220011927,6003986690,휴미,업무난방용,공동주택,공동주택,아파트,대구광역시 동구 신암남로 10,35.8773791,128.6175994,,0.0,,,신규,Nov-24
1220012805,6001964092,네네치킨(신암점),일반용(1),영업용,음식점업,기타 음식점,대구광역시 동구 신암로 132,35.8807017,128.6137868,124.6266,168.079,43.45240000000001,34.866071930069516,유지,Nov-24
1220013985,6002789062,보노보노,업무난방용,영업용,음식점업,한식점,대구광역시 동구 동부로28길 29,35.872819,128.6284637,2.9673,2.9661,-0.0011999999999998678,-0.040440804772010515,유지,Nov-24
1220013987,6002389713,츤데레,일반용(1),영업용,음식점업,기타 음식점,대구광역시 동구 동부로28길 29,35.872819,128.6284637,,,,,해지,Nov-24
1220013987,6003228680,엔에이엔에이(NANA),일반용(1),영업용,음식점업,기타 음식점,대구광역시 동구 동부로28길 29,35.872819,128.6284637,,,,,해지,Nov-24
1220013987,6003471064,네코,일반용(1),영업용,음식점업,기타 음식점,대구광역시 동구 동부로28길 29,35.872819,128.6284637,,,,,해지,Nov-24
1220013987,6003642000,바우(BOW),일반용(1),영업용,음식점업,기타 음식점,대구광역시 동구 동부로28길 29,35.872819,128.6284637,7.9128,,,,해지,Nov-24
1220013987,6004035502,이지환,일반용(1),영업용,음식점업,기타 음식점,대구광역시 동구 동부로28길 29,35.872819,128.6284637,,11.8644,,,신규,Nov-24
1220018978,1230018978,더불어 포차,일반용(1),영업용,음식점업,기타 음식점,대구광역시 동구 장등로 28,35.8697985,128.6238377,,,,,해지,Nov-24
1220018978,6003157773,청년포차,일반용(1),영업용,음식점업,기타 음식점,대구광역시 동구 장등로 28,35.8697985,128.6238377,17.8038,9.887,-7.9167999999999985,-44.46691155820667,유지,Nov-24
1220019051,6002447274,성아헤어샵,일반용(1),영업용,이.미용업,기타 이.미용업,대구광역시 동구 화랑로 55,35.8710874,128.6331368,0.0,0.9887,0.9887,,유지,Nov-24
1220019946,6000603170,박미숙,일반용(1),영업용,이.미용업,미장원,대구광역시 동구 효목로 64,35.8785222,128.6411356,43.5204,40.5367,-2.983699999999999,-6.855865295355739,유지,Nov-24
1220019947,6001720690,방정희,일반용(1),영업용,음식점업,기타 음식점,대구광역시 동구 효목로 64,35.8785222,128.6411356,,,,,해지,Nov-24
1220019947,6003681641,비타민카페 효목점,업무난방용,영업용,음식점업,기타 음식점,대구광역시 동구 효목로 64,35.8785222,128.6411356,0.0,0.0,0.0,,유지,Nov-24
1220020111,6002481357,네네치킨(효목점),일반용(1),영업용,음식점업,한식점,대구광역시 동구 효목로 111,35.8822796,128.6439607,115.7247,,,,해지,Nov-24
1220020111,6003952299,최설희,업무난방용,영업용,음식점업,한식점,대구광역시 동구 효목로 111,35.8822796,128.6439607,,,,,해지,Nov-24
1220020111,6003952299,최설희,일반용(1),영업용,음식점업,한식점,대구광역시 동구 효목로 111,35.8822796,128.6439607,,,,,해지,Nov-24
1220020111,6004002792,마고 꼬로,일반용(1),영업용,음식점업,한식점,대구광역시 동구 효목로 111,35.8822796,128.6439607,,,,,해지,Nov-24
1220020111,6004129233,"모든외식컨설팅,모든식품랩",일반용(1),영업용,음식점업,한식점,대구광역시 동구 효목로 111,35.8822796,128.6439607,,,,,해지,Nov-24
1220042549,6001177462,그린어린이집,업무난방용,업무용,교육업,어린이집,대구광역시 동구 동호로 47,35.8662648,128.7217502,87.04079999999999,,,,해지,Nov-24
1220042549,6003879204,그린어린이집,업무난방용,업무용,교육업,어린이집,대구광역시 동구 동호로 47,35.8662648,128.7217502,,22.7401,,,신규,Nov-24
1220056278,6002718531,신성실업,업무난방용,업무용,도소매업,기타 도소매업,대구광역시 북구 유통단지로 16,35.9038032,128.6059937,0.0,0.0,0.0,,유지,Nov-24
1220056278,6002718531,신성실업,일반용(1),업무용,도소매업,기타 도소매업,대구광역시 북구 유통단지로 16,35.9038032,128.6059937,0.0,0.0,0.0,,유지,Nov-24
1220056280,1230056280,서종도,업무난방용,업무용,도소매업,기타 도소매업,대구광역시 북구 유통단지로 16,35.9038032,128.6059937,0.0,0.0,0.0,,유지,Nov-24
1220056280,1230056280,서종도,일반용(1),업무용,도소매업,기타 도소매업,대구광역시 북구 유통단지로 16,35.9038032,128.6059937,0.0,0.0,0.0,,유지,Nov-24
1220056284,6003417451,SK하드웨어,업무난방용,영업용,기타영업용,기타영업용,대구광역시 북구 유통단지로 16,35.9038032,128.6059937,0.0,0.0,0.0,,유지,Nov-24
1220056286,6000796163,엘지정수기,업무난방용,영업용,기타영업용,기타영업용,대구광역시 북구 유통단지로 16,35.9038032,128.6059937,0.0,0.0,0.0,,유지,Nov-24
1220056287,1230056287,임무수,업무난방용,영업용,음식점업,기타 음식점,대구광역시 북구 유통단지로 16,35.9038032,128.6059937,0.0,0.0,0.0,,유지,Nov-24
1220056290,6000394095,서종도,업무난방용,업무용,도소매업,기타 도소매업,대구광역시 북구 유통단지로 16,35.9038032,128.6059937,29.673,,,,해지,Nov-24
1220056290,6000394095,서종도,일반용(1),업무용,도소매업,기타 도소매업,대구광역시 북구 유통단지로 16,35.9038032,128.6059937,0.0,,,,해지,Nov-24
1220056290,6003878721,신흥종합상사,업무난방용,업무용,도소매업,기타 도소매업,대구광역시 북구 유통단지로 16,35.9038032,128.6059937,,4.9435,,,신규,Nov-24
1220056293,6002111098,덕성공구사,일반용(1),업무용,도소매업,기타 도소매업,대구광역시 북구 유통단지로 16,35.9038032,128.6059937,1.9782,0.9887,-0.9894999999999999,-50.02022040238601,유지,Nov-24
1220056296,6001428807,윤태일,업무난방용,업무용,도소매업,기타 도소매업,대구광역시 북구 유통단지로 16,35.9038032,128.6059937,,,,,해지,Nov-24
1220056296,6003432012,석구식,업무난방용,업무용,도소매업,기타 도소매업,대구광역시 북구 유통단지로 16,35.9038032,128.6059937,,,,,해지,Nov-24
1220056296,6003494090,이창수,업무난방용,업무용,도소매업,기타 도소매업,대구광역시 북구 유통단지로 16,35.9038032,128.6059937,0.0,0.0,0.0,,유지,Nov-24
1220056314,6002676022,에스케이테크,업무난방용,업무용,도소매업,기타 도소매업,대구광역시 북구 유통단지로 16,35.9038032,128.6059937,0.0,0.0,0.0,,유지,Nov-24
1220056315,6002427824,으뜸E. N. G,업무난방용,업무용,도소매업,기타 도소매업,대구광역시 북구 유통단지로 16,35.9038032,128.6059937,0.0,0.0,0.0,,유지,Nov-24
1220056318,6001420028,써보랜드(SERVORAND),업무난방용,업무용,도소매업,기타 도소매업,대구광역시 북구 유통단지로 16,35.9038032,128.6059937,0.0,0.0,0.0,,유지,Nov-24
1220056318,6001420028,써보랜드(SERVORAND),일반용(1),업무용,도소매업,기타 도소매업,대구광역시 북구 유통단지로 16,35.9038032,128.6059937,0.0,0.0,0.0,,유지,Nov-24
1220056319,1230056319,써보랜드(SERVORAND),업무난방용,업무용,도소매업,기타 도소매업,대구광역시 북구 유통단지로 16,35.9038032,128.6059937,0.0,0.0,0.0,,유지,Nov-24
1220056321,6002204338,유창테크,업무난방용,영업용,기타영업용,기타영업용,대구광역시 북구 유통단지로 16,35.9038032,128.6059937,0.0,0.0,0.0,,유지,Nov-24
1220056343,1230056343,이찬수,업무난방용,업무용,도소매업,기타 도소매업,대구광역시 북구 유통단지로 16,35.9038032,128.6059937,,,,,해지,Nov-24
1220056343,6003606021,극동가스케트,업무난방용,업무용,도소매업,기타 도소매업,대구광역시 북구 유통단지로 16,35.9038032,128.6059937,2.9673,,,,해지,Nov-24
1220056343,6004098381,영일Fuse백화점,업무난방용,업무용,도소매업,기타 도소매업,대구광역시 북구 유통단지로 16,35.9038032,128.6059937,,,,,해지,Nov-24
1220056358,1230056358,대성유압기기,업무난방용,업무용,도소매업,기타 도소매업,대구광역시 북구 유통단지로 16,35.9038032,128.6059937,0.0,0.0,0.0,,유지,Nov-24
1220056360,1230056360,장태구,업무난방용,영업용,음식점업,기타 음식점,대구광역시 북구 유통단지로 16,35.9038032,128.6059937,,,,,해지,Nov-24
1220056364,6002784933,명진상사,업무난방용,업무용,도소매업,기타 도소매업,대구광역시 북구 유통단지로 16,35.9038032,128.6059937,0.0,0.0,0.0,,유지,Nov-24
1220056366,1230056366,김명옥,업무난방용,영업용,음식점업,기타 음식점,대구광역시 북구 유통단지로 16,35.9038032,128.6059937,,,,,해지,Nov-24
1220056373,6000224763,월로테크,업무난방용,업무용,도소매업,기타 도소매업,대구광역시 북구 유통단지로 16,35.9038032,128.6059937,0.0,0.0,0.0,,유지,Nov-24
1220056373,6000224763,월로테크,일반용(1),업무용,도소매업,기타 도소매업,대구광역시 북구 유통단지로 16,35.9038032,128.6059937,0.0,0.0,0.0,,유지,Nov-24
1220056376,6001397424,아신기계,일반용(1),업무용,도소매업,기타 도소매업,대구광역시 북구 유통단지로 16,35.9038032,128.6059937,0.0,0.0,0.0,,유지,Nov-24
1220056380,1230056380,이상구,업무난방용,업무용,도소매업,기타 도소매업,대구광역시 북구 유통단지로 16,35.9038032,128.6059937,0.0,0.0,0.0,,유지,Nov-24
1220056386,6000064547,최상달,업무난방용,업무용,도소매업,기타 도소매업,대구광역시 북구 유통단지로 16,35.9038032,128.6059937,1.9782,0.0,-1.9782,-100.0,유지,Nov-24
1220056386,6000064547,최상달,일반용(1),업무용,도소매업,기타 도소매업,대구광역시 북구 유통단지로 16,35.9038032,128.6059937,0.0,0.0,0.0,,유지,Nov-24
1220056391,1230056391,차숙희,업무난방용,업무용,도소매업,기타 도소매업,대구광역시 북구 유통단지로 16,35.9038032,128.6059937,0.0,0.0,0.0,,유지,Nov-24
1220056395,6000564382,두원FA,업무난방용,업무용,도소매업,기타 도소매업,대구광역시 북구 유통단지로 16,35.9038032,128.6059937,0.0,0.0,0.0,,유지,Nov-24
1220056395,6000564382,두원FA,일반용(1),업무용,도소매업,기타 도소매업,대구광역시 북구 유통단지로 16,35.9038032,128.6059937,0.0,0.0,0.0,,유지,Nov-24
1220056397,1230056397,세기베어링(이환길),업무난방용,업무용,도소매업,기타 도소매업,대구광역시 북구 유통단지로 16,35.9038032,128.6059937,,,,,해지,Nov-24
1220056398,6002194889,성광기계,업무난방용,영업용,기타영업용,기타영업용,대구광역시 북구 유통단지로 16,35.9038032,128.6059937,,,,,해지,Nov-24
1220056399,6000267830,금강산업안전,업무난방용,영업용,기타영업용,기타영업용,대구광역시 북구 유통단지로 16,35.9038032,128.6059937,,,,,해지,Nov-24
1220056399,6003417859,금강산업안전(주),업무난방용,영업용,기타영업용,기타영업용,대구광역시 북구 유통단지로 16,35.9038032,128.6059937,,,,,해지,Nov-24
1220056403,1230056403,한스산업,업무난방용,업무용,도소매업,기타 도소매업,대구광역시 북구 유통단지로 16,35.9038032,128.6059937,6.9237,25.7062,18.7825,271.2783627251325,유지,Nov-24
1220056404,1230056404,배병태,업무난방용,영업용,음식점업,기타 음식점,대구광역시 북구 유통단지로 16,35.9038032,128.6059937,0.0,0.0,0.0,,유지,Nov-24
1220056407,6001632760,이원컴퓨터조각,업무난방용,업무용,도소매업,기타 도소매업,대구광역시 북구 유통단지로 16,35.9038032,128.6059937,0.0,0.0,0.0,,유지,Nov-24
1220056409,6001639280,대성테크,일반용(2),업무용,도소매업,기타 도소매업,대구광역시 북구 유통단지로 16,35.9038032,128.6059937,0.0,0.0,0.0,,유지,Nov-24
1220056411,1230056411,가나웰딩,업무난방용,업무용,도소매업,기타 도소매업,대구광역시 북구 유통단지로 16,35.9038032,128.6059937,0.0,0.0,0.0,,유지,Nov-24
1220056411,1230056411,가나웰딩,일반용(1),업무용,도소매업,기타 도소매업,대구광역시 북구 유통단지로 16,35.9038032,128.6059937,0.9891,0.0,-0.9891,-100.0,유지,Nov-24
1220056414,1230056414,동일기업,업무난방용,업무용,도소매업,기타 도소매업,대구광역시 북구 유통단지로 16,35.9038032,128.6059937,0.0,,,,해지,Nov-24
1220056430,1230056430,효성열기버너,업무난방용,업무용,도소매업,기타 도소매업,대구광역시 북구 유통단지로 16,35.9038032,128.6059937,0.0,,,,해지,Nov-24
1220056432,6001228998,(주)대도산전,업무난방용,업무용,도소매업,기타 도소매업,대구광역시 북구 유통단지로 16,35.9038032,128.6059937,0.0,0.0,0.0,,유지,Nov-24
1220056445,6002896674,대구송풍기,업무난방용,업무용,도소매업,기타 도소매업,대구광역시 북구 유통단지로 16,35.9038032,128.6059937,3.9564,0.9887,-2.9677,-75.010110201193,유지,Nov-24
1220056446,6002735965,대경이엔지,업무난방용,업무용,도소매업,기타 도소매업,대구광역시 북구 유통단지로 16,35.9038032,128.6059937,3.9564,0.9887,-2.9677,-75.010110201193,유지,Nov-24
1220056456,1230056456,아진공구종합상사,업무난방용,업무용,도소매업,기타 도소매업,대구광역시 북구 유통단지로 16,35.9038032,128.6059937,,,,,해지,Nov-24
1220056457,1230056457,신한일전기,업무난방용,업무용,도소매업,기타 도소매업,대구광역시 북구 유통단지로 16,35.9038032,128.6059937,,,,,해지,Nov-24
1220056459,6002442695,아이오티,업무난방용,업무용,도소매업,기타 도소매업,대구광역시 북구 유통단지로 16,35.9038032,128.6059937,,,,,해지,Nov-24
1220056464,6003676189,유정종합상사,업무난방용,업무용,도소매업,기타 도소매업,대구광역시 북구 유통단지로 16,35.9038032,128.6059937,0.9891,0.9887,-0.00039999999999995595,-0.04044080477201051,유지,Nov-24
1220056465,6002714258,맥스컴케디이엔지,업무난방용,업무용,도소매업,기타 도소매업,대구광역시 북구 유통단지로 16,35.9038032,128.6059937,0.0,0.0,0.0,,유지,Nov-24
